Title and Author,Links
A CHILDREN'S BIBLE: A NOVEL by Lydia Millet,https://www.nytimes.com/interactive/2024/books/top-books-list.html#a-children-s-bible-a-novel-lydia-millet:~:text=A%20CHILDREN%27S%20BIBLE%3A%20A%20NOVEL
DEACON KING KONG by James McBride,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#a-children-s-bible-a-novel-lydia-millet:~:text=FICTION-,DEACON%20KING%20KONG,-by%20James%20McBride"
HAMNET by Maggie O'Farrell,https://www.nytimes.com/2020/07/17/books/review/hamnet-maggie-ofarrell.html
HOMELAND ELEGIES by Ayad Akhtar,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#a-children-s-bible-a-novel-lydia-millet:~:text=FICTION-,HOMELAND%20ELEGIES,-by%20Ayad%20Akhtar"
THE VANISHING HALF by Brit Bennett,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#a-children-s-bible-a-novel-lydia-millet:~:text=FICTION-,THE%20VANISHING%20HALF,-by%20Brit%20Bennett"
HIDDEN VALLEY ROAD by Robert Kolker,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#a-children-s-bible-a-novel-lydia-millet:~:text=SCIENCE-,HIDDEN%20VALLEY%20ROAD,-by%20Robert%20Kolker"
A PROMISED LAND by Barack Obama,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#a-children-s-bible-a-novel-lydia-millet:~:text=MEMOIR-,A%20PROMISED%20LAND,-by%20Barack%20Obama"
SHAKESPEARE IN A DIVIDED AMERICA by James Shapiro,https://www.nytimes.com/interactive/2024/books/top-books-list.html#a-children-s-bible-a-novel-lydia-millet:~:text=SHAKESPEARE%20IN%20A%20DIVIDED%20AMERICA
UNCANNY VALLEY by Anna Wiener,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#a-children-s-bible-a-novel-lydia-millet:~:text=MEMOIR-,UNCANNY%20VALLEY,-by%20Anna%20Wiener"
WAR by Margaret MacMillan,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#a-children-s-bible-a-novel-lydia-millet:~:text=NONFICTION-,WAR,-by%20Margaret%20MacMillan"
DISAPPEARING EARTH by Julia Phillips,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=FICTION-,DISAPPEARING%20EARTH,-by%20Julia%20Phillips"
EXHALATION by Ted Chiang,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=SHORT%20STORIES-,EXHALATION,-by%20Ted%20Chiang"
LOST CHILDREN ARCHIVE by Valeria Luisell,https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=LOST%20CHILDREN%20ARCHIVE
NIGHT BOAT TO TANGIER by Kevin Barry,https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=NIGHT%20BOAT%20TO%20TANGIER
THE TOPEKA SCHOOL by Ben Lerner,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=FICTION-,THE%20TOPEKA%20SCHOOL,-by%20Ben%20Lerner"
THE CLUB by Leo Damrosch,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=HISTORY-,THE%20CLUB,-by%20Leo%20Damrosch"
MIDNIGHT IN CHERNOBYL by Adam Higginbotham,https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=MIDNIGHT%20IN%20CHERNOBYL
NO VISIBLE BRUISES by Rachel Louise Snyder,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=SOCIOLOGY-,NO%20VISIBLE%20BRUISES,-by%20Rachel%20Louise"
SAY NOTHING by Patrick Radden Keefe,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=TRUE%20CRIME-,SAY%20NOTHING,-by%20Patrick%20Radden"
THE YELLOW HOUSE by Sarah M. Broom,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#disappearing-earth-julia-phillips:~:text=MEMOIR-,THE%20YELLOW%20HOUSE,-by%20Sarah%20M"
ASYMMETRY by Lisa Halliday,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=EXPERIMENTAL%20FICTION-,ASYMMETRY,-by%20Lisa%20Halliday"
THE GREAT BELIEVERS by Rebecca Makkai,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=FICTION-,THE%20GREAT%20BELIEVERS,-by%20Rebecca%20Makkai"
THE PERFECT NANNY by Leila Slimani,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=THRILLER-,THE%20PERFECT%20NANNY,-by%20Leila%20Slimani"
THERE THERE by Tommy Orange,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=FICTION-,THERE%20THERE,-by%20Tommy%20Orange"
WASHINGTON BLACK by Esi Edugyan,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=HISTORICAL%20FICTION-,WASHINGTON%20BLACK,-by%20Esi%20Edugyan"
AMERICAN PRISON by Shane Baue,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=INVESTIGATIVE%20REPORTING-,AMERICAN%20PRISON,-by%20Shane%20Bauer"
EDUCATED by Tara Westover,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=MEMOIR-,EDUCATED,-by%20Tara%20Westover"
FREDERICK DOUGLASS by David W. Blight,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=NONFICTION-,FREDERICK%20DOUGLASS,-by%20David%20W"
HOW TO CHANGE YOUR MIND by Michael Pollan,https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=HOW%20TO%20CHANGE%20YOUR%20MIND
SMALL FRY by Lisa Brennan-Jobs,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#asymmetry-lisa-halliday:~:text=MEMOIR-,SMALL%20FRY,-by%20Lisa%20Brennan"
AUTUMN by Ali Smith,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=FICTION-,AUTUMN,-by%20Ali%20Smith"
EXIT WEST by Mohsin Hamid,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=EXPERIMENTAL%20FICTION-,EXIT%20WEST,-by%20Mohsin%20Hamid"
PACHINKO by Min Jin Lee,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=HISTORICAL%20FICTION-,PACHINKO,-by%20Min%20Jin"
THE POWER by Naomi Alderman,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=SPECULATIVE%20FICTION-,THE%20POWER,-by%20Naomi%20Alderman"
"SING, UNBURIED, SING by Jesmyn Ward",https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=SING%2C%20UNBURIED%2C%20SING
THE EVOLUTION OF BEAUTY by Richard O. Prum,https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=THE%20EVOLUTION%20OF%20BEAUTY
GRANT by Ron Chernow,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=BIOGRAPHY-,GRANT,-by%20Ron%20Chernow"
LOCKING UP OUR OWN by James Forman Jr,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=INVESTIGATIVE%20REPORTING-,LOCKING%20UP%20OUR%20OWN,-by%20James%20Forman"
PRAIRIE FIRES by Caroline Fraser,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=BIOGRAPHY-,PRAIRIE%20FIRES,-by%20Caroline%20Fraser"
PRIESTDADDY by Patricia Lockwood,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#autumn-ali-smith:~:text=MEMOIR-,PRIESTDADDY,-by%20Patricia%20Lockwood"
THE ASSOCIATION OF SMALL BOMBS by Karan Mahajan,https://www.nytimes.com/interactive/2024/books/top-books-list.html#the-association-of-small-bombs-karan-mahajan:~:text=THE%20ASSOCIATION%20OF%20SMALL%20BOMBS
